GenBankAssemblyID	NCBI Taxonomy ID	NCBI Assembly Name	NCBI Species Name	NCBI Species Lineage	Potential Hosts	PACIFIC Group
GCA_011537785.1	2697049	ASM1153778v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537815.1	2697049	ASM1153781v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537825.1	2697049	ASM1153782v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537835.1	2697049	ASM1153783v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537865.1	2697049	ASM1153786v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537895.1	2697049	ASM1153789v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537945.1	2697049	ASM1153794v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537975.1	2697049	ASM1153797v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537985.1	2697049	ASM1153798v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011538015.1	2697049	ASM1153801v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011538025.1	2697049	ASM1153802v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011538055.1	2697049	ASM1153805v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011538105.1	2697049	ASM1153810v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011544975.1	2697049	ASM1154497v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545025.1	2697049	ASM1154502v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545035.1	2697049	ASM1154503v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545065.1	2697049	ASM1154506v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545075.1	2697049	ASM1154507v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545085.1	2697049	ASM1154508v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545095.1	2697049	ASM1154509v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545125.1	2697049	ASM1154512v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545135.1	2697049	ASM1154513v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545165.1	2697049	ASM1154516v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545235.1	2697049	ASM1154523v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545245.1	2697049	ASM1154524v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545275.1	2697049	ASM1154527v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545285.1	2697049	ASM1154528v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545295.1	2697049	ASM1154529v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545325.1	2697049	ASM1154532v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545335.1	2697049	ASM1154533v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545345.1	2697049	ASM1154534v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545355.1	2697049	ASM1154535v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545425.1	2697049	ASM1154542v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545455.1	2697049	ASM1154545v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545485.1	2697049	ASM1154548v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545495.1	2697049	ASM1154549v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545505.1	2697049	ASM1154550v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545535.1	2697049	ASM1154553v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545545.1	2697049	ASM1154554v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011545555.1	2697049	ASM1154555v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
